wavelength	intensity	cleaned_intensity
417.813	6034.0	6034.0
417.85	6050.0	6050.0
417.887	6001.0	6001.0
417.924	6017.0	6017.0
417.96	5889.0	5889.0
417.997	6208.0	6208.0
418.034	6215.0	6215.0
418.071	6198.0	6198.0
418.108	6106.0	6106.0
418.145	6214.0	6214.0
418.182	6113.0	6113.0
418.219	6272.0	6272.0
418.256	6260.0	6260.0
418.293	6194.0	6194.0
418.33	6337.0	6337.0
418.366	6428.0	6428.0
418.403	6562.0	6562.0
418.44	6599.0	6599.0
418.477	6426.0	6426.0
418.514	6531.0	6531.0
418.551	6598.0	6598.0
418.588	6718.0	6718.0
418.625	6706.0	6706.0
418.661	6613.0	6613.0
418.698	6684.0	6684.0
418.735	6749.0	6749.0
418.772	6802.0	6802.0
418.809	6901.0	6901.0
418.846	7082.0	7082.0
418.883	6942.0	6942.0
418.919	6809.0	6809.0
418.956	6799.0	6799.0
418.993	7011.0	7011.0
419.03	7070.0	7070.0
419.067	6866.0	6866.0
419.104	7019.0	7019.0
419.14	7211.0	7211.0
419.177	7081.0	7081.0
419.214	7185.0	7185.0
