wavelength	intensity	cleaned_intensity
384.167	1247.0	1247.0
384.206	1237.0	1237.0
384.245	1248.0	1248.0
384.284	1276.0	1276.0
384.324	1254.0	1254.0
384.363	1271.0	1271.0
384.402	1280.0	1280.0
384.441	1298.0	1298.0
384.48	4667.0	1294.0
384.519	1290.0	1290.0
384.559	1294.0	1294.0
384.598	1312.0	1312.0
384.637	1308.0	1308.0
384.676	1306.0	1306.0
384.715	1339.0	1339.0
384.754	1302.0	1302.0
384.794	1338.0	1338.0
384.833	1325.0	1325.0
384.872	1359.0	1359.0
384.911	1360.0	1360.0
384.95	1364.0	1364.0
384.989	1356.0	1356.0
385.029	1348.0	1348.0
385.068	1356.0	1356.0
385.107	1375.0	1375.0
385.146	1384.0	1384.0
385.185	1389.0	1389.0
385.224	1430.0	1430.0
385.263	1437.0	1437.0
385.302	1418.0	1418.0
385.342	1394.0	1394.0
385.381	1475.0	1475.0
385.42	1461.0	1461.0
385.459	1487.0	1487.0
385.498	1522.0	1522.0
385.537	1536.0	1536.0
385.576	1504.0	1504.0
385.615	1518.0	1518.0
385.655	1536.0	1536.0
385.694	1571.0	1571.0
385.733	1602.0	1602.0
385.772	1649.0	1649.0
385.811	1615.0	1615.0
385.85	1636.0	1636.0
385.889	1647.0	1647.0
385.928	1692.0	1692.0
385.967	1714.0	1714.0
386.006	1772.0	1772.0
386.045	1816.0	1816.0
386.085	1786.0	1786.0
386.124	1887.0	1887.0
386.163	1977.0	1977.0
386.202	1970.0	1970.0
386.241	2030.0	2030.0
386.28	2076.0	2076.0
386.319	2160.0	2160.0
386.358	2224.0	2224.0
386.397	2295.0	2295.0
386.436	2391.0	2391.0
386.475	2455.0	2455.0
386.514	2670.0	2670.0
386.553	2704.0	2704.0
386.592	2868.0	2868.0
386.631	3040.0	3040.0
386.671	3082.0	3082.0
386.71	3221.0	3221.0
386.749	3259.0	3259.0
386.788	3529.0	3529.0
386.827	3531.0	3531.0
386.866	3654.0	3654.0
386.905	3895.0	3895.0
386.944	3927.0	3927.0
386.983	4032.0	4032.0
387.022	4097.0	4097.0
387.061	4262.0	4262.0
387.1	4318.0	4318.0
387.139	4323.0	4323.0
387.178	4428.0	4428.0
387.217	4351.0	4351.0
387.256	4392.0	4392.0
387.295	4321.0	4321.0
387.334	4502.0	4502.0
387.373	4378.0	4378.0
387.412	4395.0	4395.0
387.451	4329.0	4329.0
387.49	4393.0	4393.0
387.529	4253.0	4253.0
387.568	4295.0	4295.0
387.607	4319.0	4319.0
387.646	4128.0	4128.0
387.685	4255.0	4255.0
387.724	4288.0	4288.0
387.763	4342.0	4342.0
387.802	4325.0	4325.0
387.841	4313.0	4313.0
387.88	4466.0	4466.0
387.919	4544.0	4544.0
